Query no.,Company,Query,Actual Response,GPT 5.2 Response,Gemini Response
94,M/s Adani Energy Solutions Limited,"Change request: NPCIL should assure 90% availability as per historical trend of operating NPPs
Rationale:  Higher availabilty enables operating cost optimization.
Indicated PLF is very low. It is not clear if this PLF is only for guarantee purpose and plant will operate at higher PLF.",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs,,
95,M/s Adani Energy Solutions Limited,"Change request: At  any statge, USER shall have right to sell/transfer the asset. In case
the USER is unable to find a subsitute,  the entire NPP facility as exist at that stage including land will vest in the DAE and USER will be compensated at fair market price of the project.
Rationale: It is new sector for private sector players. Strict exit norms create an entry barrier.",RFP terms & conditions shall prevail.,,
96,M/s Adani Energy Solutions Limited,"Change request:  Cost of project delay due to reasons attributable to NPCIL's exit may be loaded on NPCIL. As such,  NPCIL or later DAE should act as a consultant, providing expert advice, supervision and guidance during the project execution stage and later during O&M.
Rationale:  For faster project execution and later for efficient O&M management.",RFP terms & conditions shall prevail.,,
97,M/s Adani Energy Solutions Limited,"Change request: Request NPCIL to provide any existing list of suitable sites available with NPCIL for preliminary evaluation by USER as potential site.
Rationale: To save time and expedite the pre -feasibility assessment of potential sites for NPP.",Land is to be identified and offered by USER.,,
98,M/s Adani Energy Solutions Limited,"Please consider combined electricity requirement of the bidding entity as well as  parent company & subsidiary entites that includes existing electricity demand as well as projected electricity demand.
Rationale: Electricity Captive Rules do allow electricity consumption by parent or its any subsidiary to qualify as captive consumption of the bidding entity. Captive power plant can also be set up as group captive plant as per the exiting guidelines of MoP.",Refer RFP Annexure-3 and Corrigendum-IV,,
99,M/s Adani Energy Solutions Limited,"Change request: Whether the screening distance value will be relaxed for Brown field site?
Rationale: RFP states both Brown field or Green field sites are acceptable.  However, in case of brown field site, the screening distance value in respect of distance from industrial facility could not be met.",All SDVs as per AERB siting code are applicable for Brown field site.,,
100,M/s Adani Energy Solutions Limited,"Change request:
Request to eliminate the EMD amount at the proposal submission stage.
Rationale:
Currently, it is a preliminary stage and a lot of approvals and siting approvals are need to finalize land parcel. Further, there is limited clarity on the business model structure, lesser visbility of actual project cost & its design & BoQ and terms of aggrements (fuels, O&M, etc.).",RFP Terms and Conditions shall prevail.,,
101,M/s Adani Energy Solutions Limited,"Change request:
Request to increase the proposal subkission timeline by at least one quarter time of a year.
Rationale:
The details on pre-bid queries are still awaited and suitable land parcel identification is time taking and challenging task.",Refer Corrigendum-III to RFP for extension.,RFP terms & conditions shall prevail.,Proposal Due Date has been extended. Refer Corrigendum-VII and Corrigendum-VIII to RFP.
102,M/s Adani Energy Solutions Limited,"Change request:
It is requested to make provisions for providing incentives to NPCIL for timely approval/supervision during execution of NPP at a pre determined rate and panelty in case of delay attribuble to NPCIL approval/supervision etc.
Rationale:
To get lenders comfort and generate motivation for team for timely execution of NPP.",RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail.,Not relevant to RFP.
103,M/s Adani Energy Solutions Limited,"Change request:
It is requested to make provisions for training of USER's personnel/resources at NPCIL facilities
Rationale:
To develop understanding of nuclear power generation and ensure compliances",Not envisaged in current RFP,RFP terms & conditions shall prevail.,Relevant information will be shared on signing of NDA. Training facilities are part of the scope as per Annexure-1.
104,M/s Adani Energy Solutions Limited,"Change request:
Request to provide the details of project exection timeline as per major activities involved in project completion (key activities for both Civil and and non-civil milestones)
Rationale:
It is new sector for private sector players and details of project execution timelines aids in efficiently assessing project risk.","Excavation and Plain Cement Concrete (PCC) work are expected to take 9 to 12 months, while the construction of the first unit is projected to take 42 to 48 more months, counted from First Pour Concrete.",Excavation and PCC take ~9–12 months; first unit construction ~42–48 months from FPC (see RFP Annexure-1 Part C).,Refer Annexure-1 Part C of RFP. Detailed construction schedule will be shared with qualified USERs after signing NDA.
105,M/s Aditya Birla Renewables Limited (Hindalco),"""The USER shall have an industrial/commercial unit which, for its commercial/ industrial
activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR""
""The USER  or its affiliates or its group company shall have an industrial/commercial unit which, for its commercial/ industrial activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR""
(1) Many conglomerates have set-up, within its group of companies, a renewable energy generating company to install and supply renewable power for the groups renewable energy requirement / decarbonization.
(2) Since the Nuclear capacity is large, this will help to aggregate the power requirements of the group company and supply power thus helping to increase the demand of Nuclear Power.
(3) The above is permitted in case of renewables, hydro and thermal sector under structure as per Electricity Act 2003 and Electricity Rules 2005, whereby 26% of the equity is invested by the captive consumer and 74% of the equity is invested by the
power generator.","Proposal for amendment in Electricity rules for captive consumption to include the supply from Nuclear power stations is under active consideration. Following notification by MoP, the amendment will be made available.",Annexure-3 QR requires the USER’s own unit to need ~2500 MUs/year. Group or affiliate usage is not recognized; CGP equity rules remain as per law.,"Refer Corrigendum-IV to RFP. The definition of ""USER"" and ""Affiliate"" has been revised to allow aggregation of requirements by Affiliates (entities with at least 26% voting rights)."
106,M/s Aditya Birla Renewables Limited (Hindalco),"USER can propose Projects in multiple of twin BSR units subject … USERs who agree for paying expertise fees @ 60 paise/kWh to NPCIL shall be considered
Please share the break-up/ working of 60 paise/Kwh",The quantum of expertise charges under the RFP is the decision of Govt of India.,RFP terms & conditions shall prevail.,The quantum of expertise charges under the RFP is the decision of Govt of India.
107,M/s Aditya Birla Renewables Limited (Hindalco),"The Asset transfer will be executed at a value of ₹ 1. The transfer is for possession, control and operation & maintenance, and decommissioning of nuclear power plant. All the cost including the taxes, if any, will be levied to the USER
The ownership of the asset will remain with the USER or it will be transferred to NPCIL after the Asset Transfer agreement.
What the rights that the User will have over the asset after the Asset Transfer other then the right as beneficiary to the power.","Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER.","Per RFP, NPP assets transfer to NPCIL at ₹1 and USER retains only the right to the electricity output. USER has no ownership rights beyond power offtake. ","Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER. Refer Introduction of RFP."
108,M/s Aditya Birla Renewables Limited (Hindalco),"Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator and NPCIL will ensure appropriate compliance by taking suitable financial security or/and insurance policy therefor and the cost of such financial security or/and insurance policy shall be reimbursable to NPCIL by the USER.
The financial risk involved in case adamages due under CLND Act shall be borne by NPCIL or the USER?
(1) Is there any insurance policy to cover this risk?
(2) Will this policy be taken by NPCIL or USER
(3) How much is generally annual premium towards such insurance?","CLND Act and provisions thereon will prevail. Presently,INIP thru its nominated insurance co. offers coverage under the CLND. For purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (â€œCLND Act.â€) NPCIL shall be operator.",NPCIL (as operator) will obtain CLND Act insurance; USER reimburses the cost. Premium amounts are determined by insurers and not fixed by RFP.,NPCIL as operator shall ensure compliance by taking financial security/insurance. The cost of such security/insurance shall be reimbursable to NPCIL by the USER. Premium details will be shared on signing of NDA.
109,"M/s Aditya Birla Renewables Limited
(Hindalco)","Plant Load Factor (“PLF”) - 68.5% (likely to be revised to 72.5%)
Is this the net PLF on the grid after aux consumption?",68.50 % PLF is gross PLF.,The specified PLF (68.5% rising to 72.5%) refers to net generation after auxiliary consumption (delivered to USER).,The PLF refers to the Gross Generation capacity. Net generation available to USER is Gross Generation minus Auxiliary Consumption. Refer Annexure-2.
110,M/s Aditya Birla Renewables Limited (Hindalco),"To promote the Nuclear power generation, Bharat Small Reactors should be considered  as ""Green Energy"" project. All the subsidies, exemptions, and incentives applicable to renewable energy sources, such as solar, wind, and hydropower, should also be applicable to NPP. NPCIL to facilitate it.","This is within domain of MoP, may be pursued with them.",Not relevant to RFP.,Not relevant to RFP. This is a policy matter of the Government of India.
111,M/s Aditya Birla Renewables Limited (Hindalco),"It is noted that tariff of any surplus energy generated through the BSRs which is available post captive consumption shall be determined by the DAE and not the electricity exchange. Post our captive consumption, we as User will sell the surplus power (if any) through  Power Exchange, given that in an Exchange, tariff is determined through price discovery mechanism, what role would DAE play. Please clarify.",Already addressed in RFP.,Not relevant to RFP.,"Tariff for any sale of power (other than captive use) will be determined by DAE as per Atomic Energy Act, 1962. Sale is subject to DAE approval."
112,M/s Aditya Birla Renewables Limited (Hindalco),"O&M expenses: Please provide us the actual value of the O&M expenses incurred on best-achieved basis in the recent years for the latest PHWRs in India. The same will assist us in factoring the costs. Please additionally provides us all other heads under Opex costs, all inculusive/exhaustive list.",Relevant information will be shared on signing of NDA.,"Annexure-2 specifies O&M = ₹47.47 Lakh/MWe for 2017-18 (with 6% annual escalation). For 440 MWe total, that is about ₹104.4 Cr in 2017-18 (higher in later years). ",Relevant information will be shared on signing of NDA.
113,M/s Aditya Birla Renewables Limited (Hindalco),"Furthermore, an indicative summary of heads of expenses considered under the O&M expenses will bolster our understanding of various expense categories. It will also aid in
understanding linkage between O&M and Opex.",Relevant information will be shared on signing of NDA.,"Major expenditure heads: fuel, heavy water, O&M (manpower), DAE levies, insurance, water charges (see RFP Annexure-2).",Relevant information will be shared on signing of NDA. Refer Annexure-2 for indicative heads.
114,M/s Aditya Birla Renewables Limited (Hindalco),"We align to the provision that assest(s) would be transferred to NPCIL for  operation, however it is proposed that details of the agreement shall be mutually discussed and
jointly agreed upon.",Relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.,"As per RFP, agreements (MoU, Agmt-1 to Agmt-4) will be finalized by mutual consent; exact terms will be agreed during negotiations. ",The broad terms are defined in RFP. Detailed agreements will be finalized at the appropriate stage within the regulatory framework.
115,M/s Aditya Birla Renewables Limited (Hindalco),"While broadly we agree to it that stage wise project assets will be transferred to NPCIL, details of the  agreement will be mutually discussed and jointly agreed upon.",Relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.,RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail. Agreements will be executed as per the process defined.
116,M/s Aditya Birla Renewables Limited (Hindalco),"Availabilty of fuel and heavy water to be guarnteed for the entire Plant life. Also the price of fuel and heavy water should be at par with the NPCIL Plants.To this extent, kindly also confirm that all partners of NPCIL for various kinds of reactors including PHWRs, dependent on similar source of fuel shall be treated on equal footing.","Uninterrupted supply of Fuel anf Heavy water will be ensured by DAE,GoI",Fuel and heavy water are supplied by DAE under a tripartite agreement; USER pays all costs. NPCIL does not separately guarantee supply.,Fuel and heavy water will be supplied by DAE. Prices will be as notified by DAE from time to time. Refer Introduction Clause (vii)(v) and (vi).
117,M/s Aditya Birla Renewables Limited (Hindalco),"Since the User will pay expertise cost to NPCIL, it is requested to provide the computation method for charging 60 paise/kwh in the year 2030-31. Our proposal is to pay 10% of the average O & M cost incurred across all the Plants of NPCIL. Also this should be linked to the performance guarntee of achieving minimum 90% PLF. Other parameters for fixing performance guarntee may preferrably be jointly discussed and
agreed upon.",The quantum of expertise charges under the RFP is the decision of Govt of India.,USER’s entitlement is net output after auxiliary use (RFP says 'net of auxiliary consumption'). On-site use means distribution losses do not apply.,The quantum of expertise charges under the RFP is the decision of Govt of India. Proposals with deviations in expertise fees will not be considered.
118,"M/s Aditya Birla Renewables Limited
(Hindalco)",Please clarify ARFC charges with an example.,Recovery of AFRC charges are already explained in RFP.,Refer Appendix-V (NDA) of RFP; bidders must sign it and submit as instructed.,Relevant information will be shared on signing of NDA.
119,M/s Aditya Birla Renewables Limited (Hindalco),"To remain competetive with respect to other power generators,   O &M cost has to be optimum and hence we propose to keep it capped at the actual value of best achieved O & M cost for 2 X 220  MW units of NPCIL.",Relevant information will be shared on signing of NDA.,RFP terms & conditions shall prevail.,O&M expenditure is reimbursable at actuals. RFP terms & conditions shall prevail.
120,"M/s Aditya Birla Renewables Limited
(Hindalco)","Is the shutdown of the two units take in alternate years. i.e if the shutdown of Unit-1 is
in Year-1 then shutdown of unit-2 will be in Year-2 and so on.","Planned Biennial shutdown of both the units are never taken
 simultaneously.","Each 220 MWe unit has a biennial (~35–40 day) outage for maintenance (Annexure-2), typically alternating between units.","Generally, biennial shutdowns are planned to minimize generation loss, but schedule depends on regulatory and operational requirements. Relevant data shared after NDA."
121,M/s Aditya Birla Renewables Limited (Hindalco),"Since the User will bear the CAPEX for the project, it is requested that NPCIL  share the BOQ along with the specifications of the latest 2 X 220 MW unit for cost estimation.
Request you to please share the same at least 2 months before submission of RFP date.",Refer Corrigendum-IV of RFP regarding NDA and sharing of BOQ.,Relevant information will be shared on signing of NDA.,Relevant documents (e.g. BOQ) for estimation of project cost by USERs will be shared to USERs after signing NDA.
122,M/s Aditya Birla Renewables Limited (Hindalco),"As it will be appreciated that the site evaluation survey, particularly for a critical and sensitive project such as the present NPP, is time consuming and needs to be comprehensive. It is therefore requested that suitable time please be permitted for submission of relevant documents and it should be removed from the pre-qualification requirement.",Refer Corrigedum-III of RFP for extension of time for submission of proposal.,RFP terms & conditions shall prevail.,Proposal Due Date has been extended to allow for site investigations. Refer Corrigendum-VII and VIII.
123,M/s Aditya Birla Renewables Limited (Hindalco),It is understood that NPCIL being licensee will be obtaining all necessary approvals from both Central and State authorities.  Please confirm.,"All submission will be on the behafl of NPCIL as a project proponent. However report preparation and site investigation etc. are the responsibility of user and NPCIL will assist user in getting the
 necessory clearances",USER should use NPCIL-approved vendors (Annexure-3). NPCIL (as licensee) handles regulatory approvals; USER need not obtain separate AEA clearance for subcontractors.,"NPCIL will be the project proponent for approvals. However, USER shall bear all expenses and facilitate the process. Refer Introduction (vii)(a)."
124,M/s Aditya Birla Renewables Limited (Hindalco),"With regard to the land, it is noted that the User shall be the owner of the land which shall be subsequently leased to NPCIL once the user of the land is duly regularized for setting up and operating the BSRs. With this understanding, please confirm that the disposal and exploitation of the land post decommissioning of the Project shall be at the sole discretion of the owner i.e. the User(s).",RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail.,"As per Introduction Clause (viii), in case of exit/termination, facility including land vests in DAE. Post-decommissioning land use is subject to Regulatory clearance (AERB) for unrestricted/restricted use."
125,M/s Aditya Birla Renewables Limited (Hindalco),"Regarding the selection of vendors from NPCIL approved/empanelled vendor list, it is proposed that the Applicant may please be allowed an option of suggesting third party vendor which meets the technical criteria. Further, the Applicant also may be permitted the flexibility of formulating its own work packages.",User can recommend new vendors for qualification by NPCIL. Project construction and procurement is in scope of USER.,"Yes. USER may engage vendors from NPCIL’s approved list. If that vendor is listed, it can be reused (per RFP). ",USER shall select agencies from the approved list of vendors provided by NPCIL. New vendors must be qualified as per NPCIL procedures.
126,M/s Aditya Birla Renewables Limited (Hindalco),"The cost of Away From Reactor ( AFR) facilities should not be in the scope of USER, as
the user does not have any control over it. Requesting clarity on the cost of Away from Reactor ( AFR) facilities.","Regarding AFR facility, conditions provided in RFP will be applicable.","Annexure-2 says USER bears all spent fuel/AFR costs. If AFR serves multiple users, DAE will apportion costs. USER is responsible. ","All cost related to construction, operation and maintenance of spent fuel management facilities including AFR are to be borne by USER. Refer Introduction (vii)(v)."
127,M/s Aditya Birla Renewables Limited (Hindalco),What amounts to the waste ? How long waste management would be the responsibility of USER ? Till what time USER will bear the cost of waste ?,"Waste Management will be applicable to all phases of the plant starting from Commissioning, Opeartion and Deommisioning. Cost of waste mangement in all phases of NPP will be beared by USER.","Waste' means spent nuclear fuel and reactor waste. USER covers spent fuel/waste management costs during plant operation. After asset transfer, NPCIL (per Agreement-3) will handle ongoing waste/decommissioning. ",USER bears cost of waste management facilities construction and operation. Decommissioning levy covers the end-of-life waste management.
128,M/s Aditya Birla Renewables Limited (Hindalco),"Please share the benchmark PLF of 2X220 MW NPP Plant in last 5 years. To remain competative, we propose to fix  the PLF to 90% or more comparable to the best operating 2 X 220 MW Plant, especially since the aforesaid expertise fees are being
charged from the first unit of electricity generation.",Relevant information will be shared on signing of NDA.,Not relevant to RFP.,Relevant information will be shared on signing of NDA. Normative PLF is 68.5% (likely revision to 72.5%).
129,"M/s Aditya Birla Renewables Limited
(Hindalco)","Decommissioning charges should be equal for all  plants and at par with NPCIL Plants.
NPCIL is requested to provide an indicative number.",RFP terms & conditions shall prevail.,Decommissioning is covered under NPCIL’s O&M agreement (Agreement-3). USER reimburses actual costs; RFP does not specify a separate decommissioning levy.,Decommissioning levy is notified by DAE. Relevant information will be shared on signing of NDA.
130,M/s Aditya Birla Renewables Limited (Hindalco),"In case of Event of Default accountable to user, it is requested that adequate cure period may please be given to the User(s) before the option of termination is exercised by NPCIL. It is requested that the termination may please be triggered and recourse to
only in cases of incurable material breach.",RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail.,Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.
131,M/s Aditya Birla Renewables Limited (Hindalco),"Where references to specific dispute resolution mechanism is made – such as that of the DAE, please provide us with the details of the procedures followed to understand
and confirm acceptability by making an informed decision.",RFP terms & conditions shall prevail.,RFP specifies disputes are subject to courts in Mumbai only (clause xxi).,Refer Annexure-3 Clause (xx) for Dispute Resolution Mechanism.
132,M/s Aditya Birla Renewables Limited (Hindalco),Please clarify the exclusion zone radius. It is 1 km  or 0.5 km from centre of both reactors?.  Please finalise it before RFP submission date.,"Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
 A proposal for reduction of EZ to 0.5 km have been submitted and is
 under review in AERB.","RFP Annexure-1 Part A specifies a 1 km exclusion zone (per AERB code, any change pending). ","As per current AERB Siting Code, EZ radius is 1 km. Proposal for reduction to 0.5 km is under review. Refer Annexure-1 Part A."
133,M/s Aditya Birla Renewables Limited (Hindalco),-All the agreements/MOU to be done with mutual discussions and on agreed upon terms and conditions. Request you to share the draft of all such agreements atleast one month prior to the signing of agreement.,Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.,Yes. All required agreements will be concluded by mutual agreement between USER and NPCIL (per RFP terms).,Draft agreements will be shared with qualified USERs at the appropriate stage.
134,M/s Aditya Birla Renewables Limited (Hindalco),"In case of non qualification of one site, with same EMD, option for submitting another site by same USER should be allowed with sufficient timeline for proposing a new site.",Noted and will be permitted,RFP terms & conditions shall prevail.,"EMD is per proposal. USER can propose multiple sites. If a site is rejected, USER may propose alternative subject to RFP timelines."
135,M/s Bharat Aluminium Company Limited,"a. Kindly provide the modifications proposed by NPCIL to the Ministry of Power (MoP) concerning the amendment of the 'Electricity Rules' related to captive status.
b. Please inform, that the requested changes to the captive rules effectively address  the transfer of asset ownership, including land subleasing mentioned in RFP. Currently, the rules stipulate that the Captive User must maintain a minimum ownership of 26% in the asset or the company that owns the asset.","Proposal of NPCIL is under active consideration. Matter is within domain of MoP, may be pursued with them.",No change. RFP already notes a possible Electricity Rules amendment (Ministry of Power review). NPCIL has no further modifications; standard captive equity norms apply.,The amendment is under consideration by MoP. Current RFP proceeds based on the proposed model. Corrigendum-IV addresses Affiliate aggregation for meeting requirements.
136,M/s Bharat Aluminium Company Limited,"As per the refred clause the land is to be sub leased to NPCIL, please suggest a way forward in case the finacial lender of the project disagrees for the sub-leasing &
transfer of land to NPCIL.",Financing options to be discussed with the financial institutions .,RFP terms & conditions shall prevail.,Sub-leasing to NPCIL is a mandatory requirement for licensing under Atomic Energy Act. Financing arrangements must align with this intangible asset model.
137,M/s Bharat Aluminium Company Limited,"Please share the draft of the following aggreements mentioned in RFP:
a. Agreeemnt - 1
b. Agreement - 2
c. Agreement - 3
d. Agreement - 4",Relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.,Relevant information will be shared on signing of NDA.,Draft agreements will be shared with qualified USERs at the appropriate stage.
138,M/s Bharat Aluminium Company Limited,"Kindly clarify how this is feasible as:
a. How the captive status of the power will be maintained, as per the Electricity Rules, for captive status USER must have minimum 26% of equity with voting rights.
b. How the USER will take the benefit of depreciation
c. How the finacial Intitutions will allow this kind of structure",Captive status - May take up with MoP. For Depriciation - May consult with professional accounting firm. For Fianancing-options to be discussed with the financial institutions .,"RFP notes CGP amendment is under govt review. The plant assets transfer to NPCIL (USER gets power rights only), so USER cannot claim depreciation. Financing considerations are outside RFP scope. ",a. Captive status amendment is under process. b. Depreciation benefit depends on asset ownership structure/tax laws; USER to consult tax advisors. Beneficial ownership lies with USER.
139,M/s Bharat Aluminium Company Limited,"a. Kindly confirm whether the expertise charges that the user is required to pay to NPCIL are set at 60 paisa per unit or if this figure is merely illustrative. If 60paisa is charged in actual then the expertisee fees is very high and infeasible for USER.
b. Please specify the date from which the user is responsible for paying expertise charges to NPCIL, based on the net generation of the nuclear power plant.
c. Could you clarify which date will be recognized as the Commercial Operation Date (COD) for the nuclear power plant.",The quantum of expertise charges under the RFP is the decision of Govt of India.,Expertise fee is paid by the USER as per RFP (Annexure-3); USER bears this cost. There is no mechanism for reimbursement by the grid or consumers.,a. Expertise fees are 60 paise/kWh escalating annually. b. Payable from start of commercial generation. c. COD as defined in Agreement-3.
140,M/s Bharat Aluminium Company Limited,"The concept of force majeure indicates that an unforeseen event has taken place that is beyond the control of both parties, thereby absolving either party of any payment obligations.
If NPCIL insits USER to make a payment during a force majeure event, NPCIL will either secure power from an alternative source or reimburse the USER for the cost of power
procured from other market sources.",Force majeure is a non negotiable clause.,RFP terms & conditions shall prevail.,USER will continue to pay to NPCIL for the resources NPCIL has deployed during Force Majeure. Refer Introduction (ix).
141,M/s Bharat Aluminium Company Limited,"Nuclear power is recognized as a clean energy source. During their operation, nuclear
power plants do not emit greenhouse gases, and when considering their entire life- cycle, they generate emissions comparable to wind energy and significantly lower than solar energy, producing only one-third of the carbon dioxide-equivalent emissions per unit of electricity.
We request NPCIL to takeup with the Government of India and relevant ministries to advocate that the nuclear power consumed by industries and users be recognized similar as renewable energy. and the enable access to benefits associated with renewable energy, such as Renewable Purchase Obligation (RPO) compliance, renewable consumption compliance, carbon credits, and exemptions from transmission charges.",User has to take up with respective ministries for benefits / exemptions etc.,Not relevant to RFP.,Not relevant to RFP. This is a policy matter.
142,M/s Bharat Aluminium Company Limited,"We kindly request NPCIL to provide us with a list of appropriate land parcels for the construction of the Nuclear Power Plant. This would significantly streamline the process, conserving time, financial resources, and manpower, given NPCIL's expertise in
site identification and evaluation",USER is required to identify the land.,RFP terms & conditions shall prevail.,Identification of Brown/Green field sites is the scope of the USER. NPCIL does not provide land list under this RFP.
143,M/s Bharat Aluminium Company Limited,"It is essential to provide clarity regarding the security of fuel and heavy water
throughout the operational lifespan of the nuclear power plant (NPP).
In case the NPP become inoperable due to insufficient fuel or heavy water, the Nuclear Power Corporation of India Limited (NPCIL) will indemnify the USER from such incidents. Furthermore, NPCIL will guarantee the delivery of power to the user at the same cost or offer compensation for the power procured from other sources by the USER.","RFP terms & conditions shall prevail.
 Uniterrupted supply of Fuel & Heavy water will be ensured by DAE, GoI.",Not relevant to RFP.,Fuel supply is the responsibility of DAE. Indemnification clauses will be part of the Fuel Supply Agreement (Agreement-4).
144,M/s Bharat Aluminium Company Limited,"In the clause RFP documents refers to the normative PLF used in determination of tariff. We request NPCIL to provide USER a minimum gurateed PLF on per year basis.
We anticipate that Nuclear Power will serve as a replacement for coal-based thermal power plants, which function as base load generators. Consequently, we expect NPCIL to guarantee a minimum PLF of 85% annually throughout the plant's operational life. In case the supply fall below this guaranteed PLF, resulting in the USER needing to procure power from the open market, we propose that NPCIL reimburse the user for the associated procurement costs, or alternatively, arrange for power supply from other sources during such periods.",The plant is expected to operate at Normative Plant Load Factor (â€œPLFâ€) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs. Actual Plant availability depends upon mutiple factors.,The normative PLF refers to net plant output after auxiliaries.,Normative PLF is 68.5% (likely 72.5%). Actual generation depends on grid and operational conditions. No guarantee for replacement power is envisaged in RFP.
145,M/s Bharat Aluminium Company Limited,"If NPCIL does not adhere to compliance requirements, leading to penalties or a temporary shutdown of the nuclear power plant, NPCIL will be solely accountable. It will indemnify the USER and cover the penalty costs as well as any expenses necessary to address the non-compliance. Furthermore, in the event of a temporary plant closure, NPCIL will also be responsible for the costs incurred by the USER in procuring
power from alternative sources.",RFP terms & conditions shall prevail.,RFP terms & conditions shall prevail.,Liability and indemnification will be governed by the Agreements and CLND Act.
146,M/s Bharat Aluminium Company Limited,"We request NPCIL to furnish the most recent itemized CAPEX for the same 2 x 220MWe NPP (i.e. for FY-26), along with the calculations for the levelized tariff (in ₹/KWh) over the lifespan of the NPP, in Excel format. This data is essential for determining power
costs and securing financing from lenders.",Relevant information will be shared on signing of NDA. Current cost for BSR to be estimated by USER.,See RFP Annexure-4: e.g. Kaiga-3 (2007): ₹2715.04 Cr; RAPP-5 (2010): ₹2361.81 Cr.,Relevant information (BOQ/Cost data) will be shared on signing of NDA.
147,M/s Bharat Aluminium Company Limited,Please specify the tentative cost of Decommisioning levy charged from user in ₹/KWh,RFP terms & conditions will prevail.,RFP Annexure-2 lists 'levies' but no fixed amount (these are set by DAE).,Decommissioning levy is notified by DAE. Current rates will be shared on signing of NDA.
148,M/s Bharat Aluminium Company Limited,"Can a USER may participate through a Special Purpose Vehicle (SPV) established between the ultimate user, who holds a minimum of 26% equity in the SPV, and a third party. This SPV will assume all responsibilities of the USER as outlined in the Request for Proposal (RFP) and will provide power to the ultimate USER via a contractual agreement between the SPV and the USER.
We kindly request NPCIL to consider this situation in the amendment proposed to the Government of India and the Ministry of Power regarding the captive rules.",SPV model is not envisaged in RFP.,Yes. The RFP allows formation of an SPV/consortium. NPCIL even permits substituting itself with the bidder’s SPV if formed.,Participation via SPV is permitted provided the USER (and Affiliates) holds at least 26% voting rights and meets consumption criteria. Refer Corrigendum-IV.
149,M/s Bharat Aluminium Company Limited,"Kindly provide the pictorial geographical area requirements for the two 220 MWe BSR
units, including details on all exclusion zones and SDVs","Typical layout of Twin units of 220 MWe may be provided after
 signing NDA.",Not relevant to RFP.,Refer Annexure-1 Part A of RFP for land area (331 Ha/87 Ha) and SDVs. Detailed drawings shared after NDA.
150,M/s Bharat Aluminium Company Limited,"Please provide clarification regarding the remedial actions to be taken if the AERB does not grant the 'Regular Operation' license after five years, particularly concerning the investments made, power delivery, and the status of captive generation.",Regulatory stipulations of AERB shall be complied with.,"If an SDV is unmet, RFP says the site may still be accepted only with adequate engineering or administrative safeguards in place. ",Grant of license is a regulatory process. NPCIL as operator will ensure compliance to obtain license.
151,M/s Bharat Aluminium Company Limited,Please specify the tentative cost along with escalation for the life of the NPP,"Relevant information will be shared on signing of NDA. Current cost
 for BSR to be estimated by USER.",RFP terms & conditions shall prevail.,Relevant information will be shared on signing of NDA.
152,M/s Bharat Aluminium Company Limited,Please share the excel working for the Annual Fuel Recovery Charge,Recovery of AFRC charges are already explained in RFP.,RFP provides the AFRC methodology but not a spreadsheet; bidders should calculate per RFP formula.,Relevant information will be shared on signing of NDA.
153,M/s Bharat Aluminium Company Limited,"Under this RFP, does the USER have a choice to propose a different technology (other
than BSR ) under the suprevision of NPCIL.",The RFP floated is only for Indigineous 220 Mwe PHWRs.,RFP terms & conditions shall prevail.,No. The RFP is specifically for 220 MWe PHWR Bharat Small Reactors (BSRs).
154,M/s Bharat Aluminium Company Limited,"We request permission to set up Nuclear Power Plants (NPP) with unit capacities different from the standard 220 MWe, such as 700 MWe, based on our requirements.
If the terms and conditions for unit capacities other than 220 MWe differ from the current terms and conditions of the RFP, please share these terms and conditions for our consideration",The RFP floated is only for Indigineous 220 Mwe PHWRs.,RFP terms & conditions shall prevail.,Not relevant to RFP. This RFP is exclusively for 220 MWe BSRs.
