"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
153,19,M/s Bharat Aluminium Company Limited,"Under this RFP, does the USER have a choice to propose a different technology (other
than BSR ) under the suprevision of NPCIL.",The RFP floated is only for Indigineous 220 Mwe PHWRs.
154,20,M/s Bharat Aluminium Company Limited,"We request permission to set up Nuclear Power Plants (NPP) with unit capacities different from the standard 220 MWe, such as 700 MWe, based on our requirements.
If the terms and conditions for unit capacities other than 220 MWe differ from the current terms and conditions of the RFP, please share these terms and conditions for our consideration",The RFP floated is only for Indigineous 220 Mwe PHWRs.
155,21,M/s Bharat Aluminium Company Limited,"We seek clarification on whether it is a prerequisite to submit the Earnest Money
Deposit (EMD) for signing the Non-Disclosure Agreement (NDA). If so, we kindly request a waiver of this condition for the NDA signing.
Signing the NDA will enable NPCIL to share the CAPEX and OPEX data of their existing Nuclear Power Plants (NPP), which will significantly aid us in gaining a better techno- commercial understanding of this model.",RFP Terms and Conditions shall prevail.
156,22,M/s Bharat Aluminium Company Limited,"Nuclear power is recognized as a clean energy source. During their operation, nuclear power plants do not emit greenhouse gases, and when considering their entire life- cycle, they generate emissions comparable to wind energy and significantly lower than solar energy, producing only one-third of the carbon dioxide-equivalent emissions per unit of electricity.
We request NPCIL to takeup with the Government of India and relevant ministries to advocate that the nuclear power consumed by industries and users be recognized similar as renewable energy. and enable USERS to comply with the obligations under Electricity Act & Energy Conservations Act, such as Renewable Purchase Obligation (RPO) & Renewable Consumption Obligation (RCO) etc.",Not relevant to RFP
157,23,M/s Bharat Aluminium Company Limited,"Given that the preliminary site analysis and approval from the State Government is a lengthy process, we kindly request NPCIL to consider extending the Proposal Submission Due date beyond March 31, 2025, by a minimum of six months.",Refer Corrigedum-III of RFP for extension of time for submission of proposal.
158,24,M/s Bharat Aluminium Company Limited,"Regarding the captive status of power, if it is utilized by a subsidiary or holding company of the USER, does this power continue to be considered captive for the USER,
its subsidiary, and its holding company?",Refere Annexure-3 and corrigendum-IV of RFP
159,25,M/s Bharat Aluminium Company Limited,"Following the closure of the Proposal Submission deadline for this RFP, if a private entity or USER expresses interest in establishing a Nuclear Power Plant (NPP), will NPCIL consider such requests or provide support under the same conditions outlined in
this RFP?",Refere Annexure-3 and corrigendum-IV of RFP
160,26,M/s Bharat Aluminium Company Limited,We kindly request NPCIL to associate the O&M costs (which are to be reimbursed based on actual expenses) with the benchmark established over the past 15 years.,RFP terms & conditions will prevail.
161,27,M/s Bharat Aluminium Company Limited,"How will NPCIL will provide indemnification to the USER for any generation losses
resulting from issues related to the quality of operation and maintenance, as well as any compliance issues that may arise.",RFP terms & conditions will prevail.
162,28,M/s Bharat Aluminium Company Limited,"We kindly request NPCIL and DAE to provide their action plan for Fuel Security, along with an estimated cost for the next 40 years, considering that the expenses for fuel and heavy water will need to be reimbursed by the USER on an actual basis.",Fuel supply is in scope of DAE.
163,29,M/s Bharat Aluminium Company Limited,"How does NPCIL will provide indemnification to the USER against all regulatory and compliance litigations, both at the national and international levels.",Regulatory interface is in scope of NPCIL
164,30,M/s Bharat Aluminium Company Limited,"We kindly request NPCIL to consider lowering the amount of the Earnest Money
Deposit to ₹ 1 Cr.",RFP Terms and Conditions shall prevail.
165,31,M/s Bharat Aluminium Company Limited,"In the context of this Request for Proposal (RFP), is there an opportunity for the USER
to independently secure (tie-up) and supply fuel from itself ?",Fuel supply is in scope of DAE.
166,1,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""In the event that the Parties are unable to agree in good faith ... the Party not agreeing to existence of Force Majeure event.""
Ref.(2): Dispute Resolution Mechanism
BHEL: It is suggested that a uniform dispute resolution mechanism should apply to all disputes, irrespective of the situation or value of the dispute.",Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.
167,2,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""O&M Expenditure - Rs.47.47 Lakhs/MWe per annum for year  2017-18, with annual escalation of 6% per annum for every subsequent year. i.e charges for 2018-19 would be Rs.50.3182 Lakhs/MWe per annum (47.47 * 1.06 = 50.1382) and water charges/cess/levies and insurance charges at actuals.""
Ref.(2): ""… Proposals of only those USERs who agree for paying expertise fees @ 60 paise/ kWh to NPCIL shall be considered.""
BHEL: It is understood that O&M expenditure mentioned in Annexure-2 is covered under Expertise fees @ 60 paise/kWh to NPCIL as defined in Annexure-3.",Relevant information will be shared on signing of NDA.
168,3,M/s Bharat Heavy Electricals Limited,"As per RFP: Refund of EMD
BHEL: Clarity to be given to the USER regarding refund of EMD if both parties are unable to reach a common consensus on various  agreements after acceptance of their offer in QR stage.",RFP Terms and Conditions shall prevail.
169,4,M/s Bharat Heavy Electricals Limited,"As per RFP:  
Responsibilities defined in these clauses
BHEL: A clear scope matrix identifying all stages construction of nuclear power plant under consideration may be provided which includes responsibilities at various stages viz. Pre-project, Design, Engineering, Procurment, Manufacturing, Construction etc.",Broad scope and responsibilities are brought out in RFP.
170,5,M/s Bharat Heavy Electricals Limited,"As per RFP:
Ref.(1): ""... Excavation and Plain Cement Concrete (PCC) work are expected to take 9 to 12 months, while the construction of the first unit is projected to take 42 to 48 more months, counted from FPC.
Ref.(2): "" 1) Siting: The consent at the first major stage, namely Siting, involves Site evaluation review process. This process may be divided in two sub-stages: (a) Preliminary evaluation and (b) Detailed evaluation ..."".
BHEL: In the above two clauses, the timeslines for PCC and Cosntrcution are defined however the timeline for siting is not defined. The same may please be be provided.",Siting involves site specific studies/investigations and preparation of detailed site evaluation report by USER  and its review and acceptance by AERB.
171,1,M/s Bharat Sanchar Nigam Limited,Whether land available in city limits can be utilised for setting NPP.,This will be subject to complaince to AERB siting code/guides
172,2,M/s Bharat Sanchar Nigam Limited,"1) BSNL want to go for lower size of BSR. So what is the minimum capacity of BSR that
can be installed in future.
2) What is the minimum size of land requirement for this minimum capacity of BSR so that we can find out suitability as per our land availability and meeting other requirements of NPCIL.
3) Who will avail Carbon Credits from installation of BSR.","Proposal is for minimum capacity of 2 x 220 MWe BSR.
Land area requirement and Ownership is as specified in RFP."
173,3,M/s Bharat Sanchar Nigam Limited,Whether any funding will be available for this project by DAE or MNRE.,Funds/Finance to be arranged by USER
174,1,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""The USER shall have an industrial/commercial unit which,
for its commercial / industrial activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR.""
Clarification / Request:
We would like to inform you that we are an Independent Power Producer (IPP) engaged in developing renewable power projects for industrial and commercial consumers under a Third-Party / Group-Captive structure.
In this regard, we kindly request NPCIL to clarify whether IPPs like us, who will identify and finalize industrial/commercial consumers under the Group-Captive structure closer to the COD, are eligible to participate in the RFP.",Refer Annexure-3 and Corrigendum-IV of RFP
175,2,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""The USER shall have minimum net worth of Rs. 3000
Crores in the preceding financial year (2023-24) and should have credit rating corresponding to high degree safety regarding timely servicing of financial obligations and very low
credit risk from credit rating agencies, authorized to operate in India.""
Clarification / Request:
We kindly request a reduction in the net worth criteria to ₹900 crore (until September 2024) to encourage broader participation.",Refer Annexure-3 and Corrigendum-IV of RFP
176,3,M/s Continuum Green Energy Limited,"Quoted in RFP Documents: ""USER shall confirm that they are meeting the criteria of Land area requirement as per Annexure-1: PART–A clause (A) of RFP. User to confirm that supporting information against above criteria is attached along with the proposal.""
Clarification / Request:
We kindly request clarification on whether land availability is required before submitting the Request for Proposal (RFP).
Additionally, we propose that NPCIL or the concerned authority take the initiative to identify and acquire the land for the development of the power plant.",Refer Annexure-3 and Corrigendum-IV of RFP. Land is to be identified and offered by USER.
177,1,M/s Crimson Energy Experts Pvt. Ltd.,"Can site suitability studies be undertaken by any other suitable  company on behalf of
the USER and report submitted to NPCIL.",Not relevant to RFP
178,2,M/s Crimson Energy Experts Pvt. Ltd.,"Kindly detail ""Contingent Ownership"".",It's Ownership for a specific purpose.
179,3,M/s Crimson Energy Experts Pvt. Ltd.,"Can USER select a suitable technical partner with nuclear expertise (For Design,
Engineering, Documentation, QA/ QS and Installation activities).",Scope as defined in RFP will govern.
180,4,M/s Crimson Energy Experts Pvt. Ltd.,"Can a rough cost breakeven period be indicated along with its calculations based on
current NPCIL electricity tariff.",Not relevant to RFP
181,5,M/s Crimson Energy Experts Pvt. Ltd.,"Can the USER utilize services of a competent private partner for activities of
documentation for siting operations,  decommissioning, commisioning etc for submissions to NPCIL for approval.",Not relevant to RFP
"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
182,1,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","As per present applicable tax in India, only GST is applicable, therefore 'any tax' or 'any
other tax' means only 'GST' as applicable. Please confirm.","Impact of Direct / Indirect Taxes applicable to RFP may be ascertained
in consultation with Tax consultant."
183,2,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"NPCIL to clarify whether they will be having any objection or restriction of arranging finances by USER as the clause stated finances shall only be arranged by the USER
against 'Intangible asset'.","In case financing from own resources is not contemplated, option of financing to be discussed with the financial institutions ."
184,3,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to furnish draft Sub leasing of land vide Agreement  No. 1 as per RFP please.,"Relevant agreements can be mutually agreed upon at the appropriate
juncture within the existing regulatory framework."
185,4,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to furnish the draft  Agreement - 2 (binding the parties for their obligations) as
per RFP please.","Relevant agreements can be mutually agreed upon at the appropriate
juncture within the existing regulatory framework."
186,5,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to furnish the draft O&M Agreement - 3 as per RFP please.,"Relevant agreements can be mutually agreed upon at the appropriate
juncture within the existing regulatory framework."
187,6,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to furnish the draft tripartite Agreement - 4 among USER, DAE & NPCIL  as per
RFP please.","Relevant agreements can be mutually agreed upon at the appropriate
juncture within the existing regulatory framework."
188,7,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to kindly inform the cost of financial security or/and insurance policy based on
existing such 220 MW PHWR type nuclear power stations.","May please contact the Indian Nuclear Insurance pool (INIP) for CLND
insurance related queries."
189,8,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability for Nuclear Damage, Clause No. 6 of The Civil Liability for Nuclear Damage Act, 2010 (Enclosed as Annexure-1 for ready reference please) , 'Limits of Liability' as follows:
(6) (1) The maximum amount of liability in respect of each nuclear incident shall be the rupee equivalent of three hundred million Special Drawing Rights ( 1 SDR = Rs. 105.5658 vide DAE website - Frequently Asked Questions (Enclosed as Annexure-2 for ready reference please) - means Rs. 3166.97 Cr) or such higher amount as the Central Government may specify by notification: Provided that the Central Government may take additional measures, where necessary, if the compensation to be awarded under this Act exceeds the amount specified under this sub-section.
USER request NPCIL to know the present maximum liability of Central Government towards such incidences.
(6) (2) (a) The liability of an operator for each nuclear incident shall be - (a) in respect of nuclear reactors having thermal power equal to or above ten MW, rupees one thousand five hundred (1500 ) crores.
Also as per DAE website (FAQ's) The operator's maximum liability is Rs. 1500 Crores.
NPCIL to please reconfirm.
(6) (2) (b) in respect of spent fuel reprocessing plants, rupees hundred (100) crores. NPCIL to please clarify Spent Fuel Reprocessing Plant not in Bidder Scope, however, Spent Fuel Storage Building (SFSB) is in Bidder's Scope vide Part-C, Page No. 32 of 84 of RFP.","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator."
190,9,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability of Central Government, Clause No. 7 (2) of The Civil Liability
for Nuclear Damage Act, 2010 & subsequently DAE Notification dated 8th Dec 2015, (Enclosed as Annexure-3 for ready reference please) Clause No. (3) : Establishment of Nuclear Liability Fund by Central Government: The operator shall pay to the Nuclear Liability Fund , a levy at the rate of rupees 0.05 (five paise) or a levy at such rate between rupees 0.05 to 0.10 (five paise to ten paise) for every unit of electricity sold to its customers.
NPCIL to please inform the rate of levy being deposited per unit basis for their
existing PHWR 220 MW nuclear power plants.","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator."
191,10,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-II, Liability for Nuclear Damage, Clause No. 8 of The Civil Liability for Nuclear Damage Act, 2010: Operator to maintain insurance or financial securities. NPCIL to inform USER the premium of such insurance policy for 2 X 220 MW Nuclear installation.","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator. For primium - May please contact the Indian Nuclear Insurance pool (INIP)."
192,11,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Chapter-III, Claims Commissioner, Clause No. 9, Compensation for nuclear damage and its adjudication of CLND Act 2010: (1) Whoever suffers nuclear damage shall be entitled to claim compensation in accordance with the provisions of this Act. USER request NPCIL to advise how to protect Contractor without knowing the number of claimants under such nuclear incident (Bhopal disastor in 1984, probably the world's worst industrial accident. Union Carbida (51% US owned) chemical plant in Bhopal released a deadly mix of methyl isocyanate and other toxic gases due to operator error and poor plant design, killing some 15,000 people and badly affecting some 100,000 others. The company paid out some US$ 1 billion in compensation - widely considered inadequate as per Annexure-4 : Nuclear Power in India - World Nuclear Association Report for ready reference please)","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator. For other queries may please contact the Indian Nuclear Insurance pool (INIP)."
193,12,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per DAE Website (FAQ): The Supplier's liability cannot be more than that of Operator's liability (Rs,. 1500 Crores).
NPCIL to please reconfirm the same.","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND
Act.”) NPCIL shall be operator."
194,13,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per DAE Website (FAQ): What is the liability to supplier if right of recourse is resorted to?. In case the Supplier's Poilcy from Indian Nuclear Insurance Pol (INIP) and the same is in effect, then INIP will hold the Supplier harmless.
In this case, NPCIL will not raise claim on Supplier/Contractor. NPCIL to please clarify. This means NPCIL will be the beneficiary in the Supplier's Policy.","Please refer the provisions of  CLND act & for purpose of the application of the Civil Liability for Nuclear Damage Act, 2010 (“CLND Act.”) NPCIL shall be operator."
195,14,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"Request NPCIL to furnish the current charges monthly/yearly basis for the following
operating expenditures for their existing same type of plants:
1. Fuel charges
2. Heavy water charges
3. Operation & Maintenance Expenditures (including manpower expenses such as salaries and administrative expenditure)
4. Levies on nuclear power, as determined from time to time, by DAE or any other competent authority
5. Insurance charges
6. Water charges
7. Any taxes other than income tax (that are payable by NPCIL with respect to NPP/BSR as levied by competent authority from time to time)",Relevant information will be shared on signing of NDA.
196,15,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per RFP, Kaiga-3 (220 MW) & Kaiga-4 (220 MW) Completion Cost indicated Rs. 2715.04 Cr.
NPCIL to clarify if the same for each unit.",NPCIL undertakes project on twin unit basis.
197,16,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per RFP, RAPP-5 (220 MW) & RAPP-6 (220 MW) Completion Cost indicated Rs. 2361.81 Cr.
NPCIL to clarify if the same for each unit.",NPCIL undertakes project on twin unit basis.
198,17,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,USER request to know the status of amendment of power plant eligibility of Captive Generating Plant (CGP) & the time line of such amendment through Ministry of Power,Not Relevant to RFP
199,18,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"For Clarity NPCIL will provide proven PHWR Technology to USER for arranging the finances as well for the Design, Engineering, Manufacturing, Supply, Erection, Testing,
Commissioning & O&M of 2 X 220 MW BMR's.",This RFP is for Standard 2 x 220 Mwe PHWRs.
200,19,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to clarify : 'Construction Stage' means 'Design, Engineering, Manufacturing,
Supply, ETC & PG TEST'",Query not clear
201,20,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per Page 38 of 84 of RFP,  NPCIL already having experience of Pressurized Heavy Water Reactors (PHWR) total 15 No's, therefore NPCIL can specify the limit on expenditure.
NPCIL to kindly furnish the expenditure incurred under Pre-project stage of these 15
projects already under operation.",Cost of pre-project actvities varies depending upon the site
202,21,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to limit the expenses for detailed site evaluation studies as well as approval from
DAE for site selection.",Not in scope of RFP
203,22,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to limit the expenses for MoEFCC/Statutory agencies for clearances.,Not in scope of RFP
204,23,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.",NPCIL to furnish the list of approved vendors.,Relevant documents will shared after signing NDA
205,24,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"NPCIL to clarfy can USER hire foreign technology providers for the Design, Engineering, Manufacturing, Supply, ETC of 2 X 220 MW (PHWR Type) Nuclear Power Projects.",This RFP is for setting up indeginised PHWR 220 Mwe Reactors.
206,25,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"NPCIL to clarfy can USER associate foreign technology providers for the Design, Engineering, Manufacturing, Supply, ETC of 2 X 220 MW (PHWR Type) Nuclear Power
Station.",Query not relevant to RFP
207,26,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per this RFP clause, QA services shall be provided by NPCIL on the basis of reimbursement by the USER of actual expenditure incurred by NPCIL.
Based on NPCIL experience, NPCIL to limit the expenditure on QA services.",Not Relevant to RFP
208,27,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per this RFP clause: 'All costs related to construction, operation & maintenance of spent fuel management facilities within the plant including Away-from-Reactor (AFR) are to be borne by USER'.
USER request NPCIL to kindly inform the tentative costs based on NPCIL experience
please.",Will be provided to qualified USERs at appropriate time.
209,28,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per this RFP clause: 'All costs related to construction, operation of waste management and D2O upgradation facilities shall be borne by USER'.
USER request NPCIL to kindly inform the tentative costs based on NPCIL experience
please.",Relevant Details will be shared after signing NDA
210,29,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per this RFP clause: 'Apart from reimbursement of the actual expenditure to NPCIL at all the stages, USER shall pay the charges for its (NPCIL's) expertise at a rate specified in terms of paise/kWh to be paid for the electricity that is generated (net of auxiliary consumption)'.
USER request NPCIL (a) to  justify the charges to be levied during the year 2030-31 onwards please.
NPCIL to further clarify (b) whether these expertise charges are related to PHWR Technology for reactors as well as other scope & services details necessary to be provided to USER for the construction of 2 X 220 MW BMR's.",The quantum of expertise charges under the RFP is the decision of Govt  of India.
211,30,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"As per DAE Notification dated 11th Nov 2011, Chapter-V: Right of Recourse, Clause No. 24 (2) (b): Supplier shall include a person who - (i) manufactures and supplies, either directly or through an agent, a system, equipment or component or builds a structure on the basis of functional specification, or (ii) provides build to print or detailed design specifications to a vendor for manufacturing a system, equipment or component or building a structure and is responsible to the operator for design and quality assurance, or (iii) provides quality assurtance or design services.
Based on above notification, NPCIL shall provide detailed design specifications as well as the quality assurance or design services. Therefore NPCIL (Operator) will be fully responsible in place of Supplier (Contractor) related to PHWR Reactors. That means Supplier (Contractor) will be responsible partially for providing the compensation to NPCIL (Operator). NPCIL to please clarify.
Based on DOW (Supply & Services) between NPCIL & Bidder, can the risk/compensation to be tabulated proportionally in the event of right of recourse by NPCIL(Operator)  on Bidder (Contractor/Supplier).",RFP terms & conditions shall prevail.
212,31,"M/s DINESHCHANDRA R. AGRAWAL
INFRACON PVT. LTD.","NPCIL to kindly inform the tentative fund requirement for the decommissioning
activities based on NPCIL experience to USER.",RFP terms and conditions will apply.
213,32,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"USER to submit following undertaking: ''I have read the clause regarding restriction on procurement from a USER of a country which shares a land border with India; I certify that this USER is not from such a country and does not have any specified Transfer of Technology (ToT) from such a country or if having specified ToT from such a country, has been registered with the Competent Authority. I hereby certify that this USER dulfils all requirement in this regard and is eligible to be considered. (Where applicable, evidence of validregistration by the Competent Authority shall be attached).''
Based on above Indian USER can procure supplies & services from countries other than land border sharing countries including the transfer of technology. NPCIL to please confirm.",RFP terms and conditions will apply.
214,33,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"Under clause (2) (e.): The USER's of foreign origin shall disclose the names and
addresses of agents/Representatives in India, if any. Similarly, USER(s) of Indian Nationality shall disclose names and addresses of foreign agents/representatives/principals/associates, if any. Either the INdian Agent on behalf of the foreign principal or the foreign principal, directly could proposal   in a RFP but not both. Further, in cases where an agent participates in a RFP on behalf of one manufacturer, he would not be allowed to quote on behalf of another manufacturer along with the first manufacturer in a subsequent and/or parallel RFP for the same item.
NPCIL to please clarify the Invitation to Request for proposal (RFP) published by NPCIL dated 31.12.2024 are from Indian Tenderers. But as per above clause, foreign
principal can also submit RFP. Please clarify.",RFP terms & conditions shall prevail.
215,34,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,NPCIL to clearly list the charges to be paid by USER during (a) Pre-Project Stage (b) Construction phase (c.) Plant Operation Phase (d) Decommissioning phase.,RFP terms & conditions shall prevail.
216,35,M/s DINESHCHANDRA R. AGRAWAL INFRACON PVT. LTD.,"Kindly refer Annexure-6 (as enclosed): Key Features of Budget, Issued by Govt. of India vide Page No. 7 of 16: Nuclear Energy Mission for Viksit Bharat: Amendments to the Atomic Energy Act and the Civil Liability for Nuclear Damage Act will be taken up for active partnership with the private sector.
NPCIL to please inform the expected date of issue of Amendments to the Atomic
Energy Act and the Civil Liability for Nuclear Damage Act.",Query not relevant to RFP
217,1,M/s Global Technology Alliance,"Economic impact of engineering design modification on the project cost :
Screening Distance Value section mentions that the BSMR will need to be located at a distance of 16 km from industrial facilities involving storaage handling of chemicals etc. Since the BSMR is envisaged as a captive source of process heat / power, the project will be co-located at the site of industrial facility. What is the nature of engineering design modification that is envisaged when the BSMR is co-located at the industrial site and what is the cost implication of such engineering design modification on the project cost of the SMR.",The project proposed is Bharat Small Reactor (BSR) and not BSMR. Hazards like explosion / toxic gas release etc posed due to co-located facilities need to be assessed (if SDVs are not met) and the engineering measures required (if any) to mitigate the hazards will depend upon the intensity. Exact details including cost can be assessed only after availability specific inputs and detailed analysis.
218,2,M/s Global Technology Alliance,"NPCIL business model and bankability of the BSMR project :
The RFP mentions that project assets will be transferred at a value of ₹ 1. RFP also mentions that finances shall be arranged by the USER, against intangible asset. i.e. right of the USER to have beneficial ownership of the electricity that will be produced by the NPP. Since most of the Industry projects are envisaged for captive consmption, what is the model that is envisaged by Nuclear Power Corporation that will enable financial closure of the project. Please share draft clauses of agreement - 3 so that feedback can be taken from banks on the bankability of the envisaged model.","In case financing from own resources is not contemplated, option of financing to be discussed with the financial institutions ."
219,3,M/s Global Technology Alliance,"Financing of fuel required for the BSMR:
Please share draft clauses of agreement - 4 so that feedback can be taken from banks / financial institution for arranging finance","In case financing from own resources is not contemplated, option of financing to be discussed with the financial institutions ."
220,1,"M/s Godrej & Boyce Manufacturing
Company Limited",Please share a list of Approved Vendors for all Products / Equipment,Relevant documents will shared after signing NDA
221,2,M/s Godrej & Boyce Manufacturing Company Limited,It's understood NPCIL will be responsible for O&M as well as procurement of capital spares and equipment replacement & upgrade throughout the plant life cycle. Costs asscoicated with O&M as well as CAPEX charges will be bear by USER. Please confrim,Costs asscoicated with O&M as well as CAPEX charges will be borne by USER.
222,1,M/s Greenko Group,"Is the amendment related to the exclusion zone radius requirement, changing it from 1
km to 0.5 km, expected to be completed during the bid process?","A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
223,2,M/s Greenko Group,What is the additional land required (in acres) for the township and CISF colony? Is there any proximity requirement or can it be away?,Township & Colony shall be beyond 5 km of reactor centre and shall be planned by USER meeting various local & other applicable authorities norms and AERB siting code (AERB/NF/SC/S Rev1).
224,3,M/s Greenko Group,"Are there any restrictions on land usage after decommissioning and compliance with
release criteria?",Refer RFP Annexure-1 PART –B on decommissioning
225,4,M/s Greenko Group,"What role does the USER play in the selection and approval of EPC partners? Can the USER negotiate terms and conditions directly with the EPC partners, or must this be done in coordination with NPCIL? Who has the final approval authority?",Procurement is in scope of USER with QA by NPCIL.
226,5,M/s Greenko Group,"Please share the capacity and current order book of the empanelled vendors. Given a capacity of 20 GW or more planned to be commissioned in the next 8-10 years, will
these vendors be capable of meeting the demand?",Not relevent to RFP
227,6,M/s Greenko Group,"What measures are in place to ensure a consistent and reliable supply of fuel for the nuclear power plant? Are there any financial safeguards or insurance options available to mitigate the risks associated with fuel supply disruptions? If not, does DAE or NPCIL
agree to guarantee clauses in lender documents?","Uninterruted supply of Fuel and Heavy water will be ensured by DAE, GoI."
228,7,M/s Greenko Group,"Is the current fuel processing capacity sufficient to cater to the needs of the cumulative installed capacity of over 22 GW by 2032 and more beyond 2032? If not, is the
augmentation plan ready and being actioned on.",Query not relevant to RFP
229,8,M/s Greenko Group,"Are any challenges anticipated with open access for these projects with Captive Status, and how will they be addressed? Do bilateral sales get covered?",Not relevant to RFP
230,9,M/s Greenko Group,"Will the USER have flexibility in executing any part of the project apart from location/land selection and feasibility study, such as the construction of non-reactor
components, other civil work, etc.?",Project construction is in scope of USER under supervision and QA coverage by NPCIL.
231,10,M/s Greenko Group,What is the typical auxiliary consumption for the proposed 2x220 MW NPPs?,Refer RFP Annexure-2
232,11,M/s Greenko Group,Please share checklist for site/land selection,Refer AERB code and guides on Siting available on AERB website
233,12,M/s Greenko Group,"Please provide details on the asset transfer mechanism to NPCIL (for O&M) and its impact on project finance. (a) How will intangible power contract be securitized by lenders? , will securitisation of assets allowed with the bankers, any view from NPCIL's
advisors","Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER."
234,13,M/s Greenko Group,"Can the User be an IPP (Independent power producer) without identified  offtake /
consumption before the bid, i.e can the offtake be shown with requirement before the commissioning of the power plant",Refer Qualification Requirements of RFP Annexure-3 and corrigendum- 4 to RFP
235,14,M/s Greenko Group,"Are the Captive Rules being changed to remove the equity / ownership of 26% for
consideration under captive status",Refer Annexure-3 and Corrigendum-IV of RFP
236,15,M/s Greenko Group,"As per this USER can identify consumer at a later stage, but the bid requires information on the consumption as part of qualification. Request to please clarify",Refer Qualification Requirements of RFP Annexure-3 and corrigendum- 4 to RFP
237,16,M/s Greenko Group,"Will the requirement of DAE for tariff be applicable even for power sale to end consumers under open access rules. i.e can the USER decide the tariff for sale of power
to consumers other than regulated utilities",RFP terms and conditions will apply.
238,17,M/s Greenko Group,"Is the normative PLFs utilised for determination of tariff, are there any restrictions on
operating the NPP beyond the normative PLFs",RFP terms and conditions will apply.
239,18,M/s Greenko Group,"60 paise /kWh is this in lieu of O&M expenses or is this over and above the O&M expense of NPP.
If this is additional then request to provide the basis for 60 paise per unit charges which
translate to INR 150 Cr per project",Expertise charges are payable in addition to O&M charges.
240,19,M/s Greenko Group,Can you please clarify that User will be absolved of any liability arising out of CLND Act,RFP terms & conditions shall prevail.
